MsgID.STATE,1523729405.0370126,False,False
MsgID.GLOBAL_HOME,1523729405.0390086,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1523729405.0390086,-122.3974494,37.7924799,0.1420000
MsgID.LOCAL_VELOCITY,1523729405.0390086,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523729405.0395103,-0.0028751,0.0498984,-0.1420150
MsgID.LOCAL_VELOCITY,1523729405.0395103,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1523729405.0395103,-0.0469653,-0.0788741,-0.1633019
MsgID.LOCAL_VELOCITY,1523729405.0395103,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523729405.0400083,-122.3974508,37.7924795,0.1630000
MsgID.LOCAL_VELOCITY,1523729405.0400083,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523729405.0400083,-0.0852619,-0.1879610,-0.1903693
MsgID.LOCAL_VELOCITY,1523729405.0400083,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523729405.0400083,-122.3974521,37.7924792,0.1900000
MsgID.LOCAL_VELOCITY,1523729405.0400083,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523729405.0400083,-0.0184264,-0.0957518,-0.2095454
MsgID.LOCAL_VELOCITY,1523729405.0400083,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523729405.0405073,-122.3974510,37.7924798,0.2090000
MsgID.LOCAL_VELOCITY,1523729405.0405073,0.0000000,0.0000000,0.0000000
MsgID.STATE,1523729405.0405073,False,False
MsgID.GLOBAL_HOME,1523729405.0410082,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1523729405.0545454,-122.3974485,37.7924815,0.2210000
MsgID.LOCAL_VELOCITY,1523729405.0545454,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523729405.0550117,0.1685776,0.1290213,-0.2214480
MsgID.LOCAL_VELOCITY,1523729405.0550117,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1523729405.3055227,0.1446434,-0.0552880,-0.2226454
MsgID.LOCAL_VELOCITY,1523729405.3055227,0.0000093,0.0000203,0.0000197
MsgID.GLOBAL_POSITION,1523729405.3080163,-122.3974506,37.7924813,0.2220000
